EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=600
COLUMNS=DATE,CLOSE,HIGH,LOW,VOLUME
DATA=
TIMEZONE_OFFSET=-240
a1463059800,1.27,1.29,1.26,8431
1,1.23,1.27,1.23,110230
2,1.2,1.2373,1.2,118676
3,1.17,1.21,1.17,236608
4,1.17,1.18,1.16,248507
5,1.185,1.19,1.165,78829
6,1.19,1.19,1.18,42020
7,1.21,1.21,1.1901,87624
8,1.2,1.215,1.2,28259
9,1.19,1.21,1.19,38306
10,1.18,1.2,1.18,61240
11,1.17,1.19,1.17,15484
12,1.17,1.18,1.17,24450
13,1.175,1.18,1.17,36354
14,1.185,1.1862,1.1701,46512
15,1.185,1.19,1.18,10800
16,1.185,1.19,1.175,49550
17,1.189,1.19,1.18,14451
18,1.1885,1.19,1.18,11996
19,1.19,1.19,1.185,8097
20,1.1899,1.19,1.1801,22221
21,1.18,1.19,1.18,11050
22,1.18,1.19,1.18,16779
23,1.19,1.19,1.18,10100
24,1.19,1.19,1.18,1589
25,1.1825,1.185,1.18,12667
26,1.18,1.185,1.18,1730
27,1.19,1.19,1.18,5300
28,1.1899,1.19,1.185,7400
29,1.18,1.19,1.18,38225
30,1.1875,1.19,1.1801,7040
31,1.19,1.19,1.1813,5500
32,1.185,1.19,1.185,5000
33,1.195,1.2,1.1801,58173
34,1.2,1.2,1.1901,15099
35,1.21,1.21,1.195,35873
36,1.21,1.21,1.205,2300
37,1.205,1.21,1.2,4812
38,1.205,1.21,1.205,21400
39,1.22,1.22,1.2001,155574
144,1.21,1.21,1.21,2695
145,1.22,1.22,1.18,120118
146,1.235,1.24,1.21,27222
147,1.23,1.24,1.21,24372
148,1.22,1.23,1.21,9550
149,1.22,1.22,1.21,14200
150,1.22,1.23,1.21,37921
151,1.22,1.22,1.21,11600
152,1.22,1.22,1.21,4900
153,1.24,1.24,1.21,44428
154,1.2399,1.245,1.23,23778
155,1.2399,1.24,1.234,5061
156,1.25,1.25,1.23,76000
157,1.25,1.25,1.24,12400
158,1.235,1.24,1.23,20400
159,1.235,1.24,1.23,10200
160,1.235,1.24,1.23,2200
161,1.27,1.27,1.23,413245
162,1.3,1.32,1.2694,133869
163,1.32,1.32,1.2934,52723
164,1.309,1.32,1.3,50107
165,1.31,1.31,1.3,2535
166,1.29,1.31,1.29,42912
167,1.295,1.299,1.2884,29390
168,1.31,1.31,1.29,29685
169,1.31,1.31,1.3,15483
170,1.295,1.305,1.29,22590
171,1.29,1.3,1.29,27420
172,1.3,1.3,1.2901,920
173,1.28,1.3,1.28,8635
174,1.29,1.29,1.28,2225
175,1.27,1.29,1.27,13802
176,1.28,1.28,1.2666,37818
177,1.275,1.28,1.2701,3669
178,1.28,1.28,1.27,6300
179,1.28,1.28,1.27,3980
180,1.29,1.29,1.275,41680
181,1.29,1.29,1.28,9300
182,1.3,1.3,1.285,20205
183,1.29,1.3,1.29,156381
576,1.3,1.3,1.3,7799
577,1.2986,1.3,1.28,18973
578,1.3,1.3,1.28,20541
579,1.307,1.31,1.295,31295
580,1.3001,1.3101,1.26,62880
581,1.28,1.31,1.28,10586
582,1.28,1.29,1.28,19245
583,1.28,1.29,1.28,11029
584,1.27,1.28,1.27,33390
585,1.27,1.28,1.27,5100
586,1.28,1.29,1.27,17480
587,1.275,1.289,1.275,22109
588,1.26,1.28,1.26,43758
589,1.26,1.2699,1.26,9390
590,1.27,1.28,1.26,27614
591,1.265,1.2718,1.265,17004
592,1.2735,1.275,1.27,7477
593,1.27,1.28,1.27,6940
594,1.27,1.28,1.27,6871
595,1.27,1.28,1.27,4300
596,1.265,1.28,1.26,10685
597,1.27,1.27,1.26,41803
598,1.26,1.27,1.26,9145
599,1.26,1.27,1.26,3700
600,1.26,1.27,1.26,35590
601,1.255,1.27,1.255,17773
602,1.25,1.255,1.25,12700
603,1.26,1.27,1.25,25829
604,1.28,1.29,1.26,139464
605,1.28,1.29,1.28,20800
606,1.28,1.29,1.28,12875
607,1.29,1.305,1.28,63162
608,1.303,1.31,1.28,35353
609,1.3,1.3,1.29,26000
610,1.29,1.3,1.29,9145
611,1.3,1.3,1.29,29788
612,1.3,1.31,1.295,12592
613,1.3,1.308,1.3,23370
614,1.31,1.31,1.3,30763
615,1.31,1.31,1.3,96281
720,1.32,1.32,1.32,4223
721,1.3017,1.3017,1.3017,100
722,1.315,1.32,1.305,79214
723,1.305,1.32,1.305,52395
724,1.3001,1.31,1.3,12265
725,1.32,1.32,1.3,36662
726,1.32,1.33,1.315,69780
727,1.335,1.34,1.31,57812
728,1.3301,1.355,1.33,122424
729,1.34,1.34,1.33,13950
730,1.34,1.34,1.33,29688
731,1.325,1.34,1.32,67587
732,1.35,1.35,1.32,12592
733,1.36,1.36,1.34,30319
734,1.36,1.36,1.35,30434
735,1.3599,1.36,1.34,51988
736,1.3501,1.36,1.35,7900
737,1.36,1.36,1.35,20600
738,1.3501,1.36,1.35,31850
739,1.36,1.36,1.35,20040
740,1.36,1.37,1.36,40064
741,1.35,1.37,1.35,65912
742,1.36,1.36,1.35,39330
743,1.38,1.38,1.368,103572
744,1.38,1.38,1.37,24820
745,1.38,1.38,1.37,12150
746,1.3799,1.38,1.37,25400
747,1.36,1.38,1.36,21805
748,1.36,1.37,1.36,33680
749,1.36,1.37,1.35,51879
750,1.36,1.37,1.35,24917
751,1.3528,1.36,1.35,17430
752,1.35,1.36,1.35,144595
753,1.35,1.355,1.35,3558
754,1.3502,1.36,1.35,20691
755,1.355,1.36,1.35,3884
756,1.36,1.36,1.35,14321
757,1.37,1.37,1.35,89330
758,1.34,1.37,1.3337,209276
759,1.31,1.35,1.3,258367
864,1.32,1.32,1.32,4558
865,1.34,1.35,1.27,133273
866,1.33,1.3499,1.31,36654
867,1.32,1.33,1.32,15477
868,1.33,1.33,1.31,34222
869,1.321,1.3299,1.32,7239
870,1.3499,1.35,1.32,29920
871,1.34,1.35,1.34,16954
872,1.345,1.35,1.34,6608
873,1.3415,1.35,1.34,22551
874,1.37,1.37,1.34,64734
875,1.365,1.37,1.36,46350
876,1.37,1.37,1.36,13550
877,1.37,1.37,1.36,12818
878,1.37,1.37,1.36,11650
879,1.36,1.37,1.36,8900
880,1.39,1.395,1.36,169773
881,1.395,1.4,1.39,69805
882,1.4,1.41,1.39,178974
883,1.39,1.4,1.38,33047
884,1.41,1.41,1.4,53336
885,1.43,1.44,1.4,127283
886,1.43,1.44,1.42,79951
887,1.415,1.43,1.41,72419
888,1.42,1.42,1.41,17344
889,1.4201,1.43,1.42,48560
890,1.43,1.44,1.4201,30182
891,1.42,1.44,1.42,32438
892,1.42,1.43,1.41,67622
893,1.41,1.4244,1.4,95686
894,1.4201,1.43,1.405,23752
895,1.435,1.44,1.425,70131
896,1.438,1.44,1.43,15080
897,1.45,1.45,1.4316,47883
898,1.45,1.46,1.44,149824
899,1.45,1.46,1.44,91029
900,1.47,1.47,1.445,96826
901,1.47,1.48,1.46,79593
902,1.48,1.49,1.47,224738
903,1.48,1.49,1.47,295538
a1463664600,1.48,1.48,1.47,63720
1,1.5373,1.5399,1.45,366324
2,1.51,1.55,1.5,340416
3,1.5,1.52,1.49,113197
4,1.49,1.51,1.49,62720
5,1.505,1.505,1.49,120627
6,1.5,1.51,1.5,19299
7,1.46,1.505,1.45,122589
8,1.46,1.47,1.45,72440
9,1.425,1.47,1.42,167854
10,1.45,1.45,1.42,91852
11,1.435,1.45,1.43,43252
12,1.435,1.4399,1.43,27250
13,1.44,1.44,1.43,46311
14,1.43,1.44,1.43,13960
15,1.43,1.44,1.43,38700
16,1.44,1.44,1.43,10050
17,1.44,1.4462,1.43,24160
18,1.43,1.445,1.423,67894
19,1.42,1.43,1.42,38679
20,1.42,1.43,1.42,24154
21,1.415,1.425,1.41,18252
22,1.405,1.42,1.4,58970
23,1.365,1.41,1.36,239992
24,1.38,1.39,1.37,70063
25,1.385,1.39,1.38,48395
26,1.425,1.44,1.385,150022
27,1.41,1.4293,1.41,17072
28,1.4101,1.4199,1.41,9887
29,1.4197,1.42,1.41,38173
30,1.425,1.43,1.42,7207
31,1.4201,1.43,1.42,3839
32,1.41,1.42,1.41,4490
